artist,album,num_songs,lexical_complexity_mean,lexical_complexity_max,lexical_complexity_balanced,rhyme_complexity_mean,rhyme_complexity_max,rhyme_complexity_balanced,semantic_depth_mean,semantic_depth_max,semantic_depth_balanced,narrative_structure_mean,narrative_structure_max,narrative_structure_balanced,emotional_expressiveness_mean,emotional_expressiveness_max,emotional_expressiveness_balanced,composite_score_mean,composite_score_max,composite_score_balanced
Lil Wayne,Unknown,49,0.3360070461082358,0.989109064552412,0.5972478534859063,0.4451116818850502,0.8079365892573535,0.5902416448339716,0.6327499604416443,0.8563482041615066,0.7221892579295892,0.6669287090368533,0.7375727999185753,0.6951863453895422,0.4314684484587187,0.942246066827234,0.6357794958061249,0.4913623178285103,0.6524991805361009,0.5558170629115465
Lil Wayne,Dedication 6: Reloaded,12,0.5135764787272472,0.6745739499826289,0.5779754672294,0.5115098292790371,0.7986212194118215,0.6263543853321509,0.748569945002409,0.8624425309466913,0.794118979380122,0.6555503386992593,0.6892463118057118,0.6690287279418403,0.4946911076347206,0.765068159817025,0.6028419285076424,0.5775775143975236,0.7232052922820813,0.6358286255513467
Dave,PSYCHODRAMA,11,0.3445304985143023,0.3727466717444873,0.3558169678063763,0.2449117168967695,0.6228493637509593,0.3960867756384454,0.7537904560846699,0.9233661090341476,0.821620717264461,0.6676848370729235,0.7535767489702535,0.7020416018318555,0.688864098568695,0.8580051429682014,0.7565205163284976,0.5188176654186644,0.5642887043199079,0.5370060809791618
Drake,$ome $exy $ongs 4 U,20,0.3667639582857074,0.4455821440559971,0.3982912325938233,0.367094931029669,0.7760635278446641,0.5306823697556671,0.641415295505658,0.7750644066340889,0.6948749399570304,0.653350104683551,0.711591541296691,0.6766466793288071,0.4828007429665488,0.7936856621452222,0.6071547106380182,0.4879722478115328,0.6016453191917746,0.5334414763636295
Drake,If You’re Reading This It’s Too Late,19,0.3210269309497826,0.4743021655935241,0.3823370248072792,0.4088547832242059,0.8224633313543664,0.5742982024762702,0.6125553451599469,0.7697731784154878,0.6754424784621633,0.6728393847746106,0.7250807067434555,0.6937359135621486,0.4352567509011608,0.854828623717958,0.6030855000278796,0.4769074089244211,0.5913317072686917,0.5226771282621293
Drake,Iceman,7,0.4137816522345457,0.6115990500984511,0.4929086113801079,0.506784974500746,0.8441326399918028,0.6417240406971687,0.5968404349291992,0.7251030287961207,0.6481454724759678,0.6305618586024689,0.7055098962611651,0.6605410736659474,0.3689724680813714,0.6405904945168872,0.4776196786555777,0.49719943346458,0.6038492633065153,0.5398593654013542
Kanye West,VULTURES 1,15,0.3597566727584667,0.4855904808648102,0.4100901960010041,0.4476608427660631,0.8247709526795487,0.5985048867314574,0.5978701150905348,0.7729729494394441,0.6679112488300984,0.6528508015881178,0.7294150960260608,0.683476519363295,0.4097358400921838,0.7514461276533496,0.5464199551166501,0.4833153565179705,0.618969136560767,0.5375768685350891
Lil Wayne,Tha Carter V (Deluxe),27,0.3238675055543765,0.5075124456625347,0.3973254815976398,0.4839667183997688,0.8276969656832178,0.6214588173131483,0.6513535370574411,0.8008659570800808,0.711158505066497,0.6675115213658587,0.7148692684220582,0.6864546201883385,0.525915972873268,0.8988551593140183,0.6750916474495681,0.5213458109018382,0.7215269854214149,0.6014182807096689
Drake,Take Care,18,0.3043720948212471,0.424248550293315,0.3523226770100742,0.3923524288991432,0.7975033123256657,0.5544127822697522,0.68324783156982,0.8715976730204407,0.7585877681500683,0.6699449035815439,0.7345364229267987,0.6957815113196457,0.5560473623155001,0.844142004003002,0.6712852189905009,0.5073133005033309,0.6053825306122738,0.546540992546908
Lil Wayne,Funeral (Deluxe),21,0.3331030548159087,0.4930857406254517,0.3970961291397259,0.4600423613613146,0.7956145294328603,0.594271228589933,0.5806084866035159,0.762849472533785,0.6535048809756236,0.6681414271208617,0.7476074461465678,0.6999278347311442,0.3797668581799835,0.7659276658073612,0.5342311812309346,0.4739274843283396,0.5486935259745398,0.5038339009868197
Lil Wayne,Dedication 2,9,0.4154352296469228,0.7452745328321512,0.5473709509210142,0.2426593593929189,0.3759501730914201,0.2959756848723194,0.7031522929651154,0.7454552427686731,0.7200734728865386,0.6623630459044088,0.7066884869839608,0.6800932223362296,0.5440689528180674,0.6749614651159925,0.5964259577372375,0.4925505918199122,0.5485964685829654,0.5149689425251335
Kanye West,VULTURES 2 (Digital Deluxe),19,0.3665457642852261,0.7118905460976165,0.5046836770101822,0.4797426456457463,0.8055801794104386,0.6100776591516233,0.571814549046363,0.8161599696385151,0.6695527172832239,0.6649186990523258,0.722958223415204,0.6881345087974771,0.3253827251145322,0.7101095091457853,0.4792734387270334,0.4724220739585097,0.6789335025125262,0.5550266453801163
